summit_order,summit_order_no_oxygen,climber_name,climbing_period,born_year,age_at_completion,nationality,wiki_title,wiki_url,photo_url
11,,Han Wang-yong,1994–2003,1966,37,Korean,Han Wang-yong,https://en.wikipedia.org/wiki/Han_Wang-yong,
12,5,Ed Viesturs,1989–2005,1959,46,American,Ed Viesturs,https://en.wikipedia.org/wiki/Ed_Viesturs,https://upload.wikimedia.org/wikipedia/commons/f/f6/Ed_Viesturs_-_2008_%28crop%29.jpg
13,6,Silvio Mondinelli,1993–2007,1958,49,Italian,Silvio Mondinelli,https://en.wikipedia.org/wiki/Silvio_Mondinelli,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Silvio_Mondinelli_-_2012.jpg/500px-Silvio_Mondinelli_-_2012.jpg
14,7,Iván Vallejo,1997–2008,1959,49,Ecuadorian,Iván Vallejo,https://en.wikipedia.org/wiki/Iván_Vallejo,
15,8,Denis Urubko,2000–2009,1973,35,Kazakhstani,Denis Urubko,https://en.wikipedia.org/wiki/Denis_Urubko,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Denis_Urubko.jpg/500px-Denis_Urubko.jpg
16,,Ralf Dujmovits,1990–2009,1961,47,German,Ralf Dujmovits,https://en.wikipedia.org/wiki/Ralf_Dujmovits,
17,9,Veikka Gustafsson,1993–2009,1968,41,Finnish,Veikka Gustafsson,https://en.wikipedia.org/wiki/Veikka_Gustafsson,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Veikka_Gustafsson.jpg/500px-Veikka_Gustafsson.jpg
18,,Andrew Lock,1993–2009,1961,48,Australian,Andrew Lock,https://en.wikipedia.org/wiki/Andrew_Lock,
19,10,João Garcia,1993–2010,1967,43,Portuguese,João Garcia,https://en.wikipedia.org/wiki/João_Garcia,
20,,Piotr Pustelnik,1990–2010,1951,58,Polish,Piotr Pustelnik,https://en.wikipedia.org/wiki/Piotr_Pustelnik,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/2011-08_Woodstock_63_Piotr_Pustelnik_%28cropped%29.jpg/500px-2011-08_Woodstock_63_Piotr_Pustelnik_%28cropped%29.jpg
21,,Edurne Pasaban,2001–2010,1973,36,Spanish,Edurne Pasaban,https://en.wikipedia.org/wiki/Edurne_Pasaban,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Edurne_Pasaban_recibe_el_Premio_Vasco_Universal_2010_4_%28crop%29.jpg/500px-Edurne_Pasaban_recibe_el_Premio_Vasco_Universal_2010_4_%28crop%29.jpg
22,,Abele Blanc,1992–2011,1954,56,Italian,Abele Blanc,https://en.wikipedia.org/wiki/Abele_Blanc,
23,,Mingma Sherpa,2000–2011,1978,33,Nepali,Mingma Sherpa (mountaineer),https://en.wikipedia.org/wiki/Mingma_Sherpa_(mountaineer),https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Mingma_sherpa.jpg/500px-Mingma_sherpa.jpg
24,11,Gerlinde Kaltenbrunner,1998–2011,1970,40,Austrian,Gerlinde Kaltenbrunner,https://en.wikipedia.org/wiki/Gerlinde_Kaltenbrunner,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Gerlinde_Kaltenbrunner_2015-07-02_001.jpg/500px-Gerlinde_Kaltenbrunner_2015-07-02_001.jpg
25,,Vassily Pivtsov [de],2001–2011,1975,36,Kazakhstani,Wassili Piwzow,https://en.wikipedia.org/wiki/Wassili_Piwzow,
26,12,Maxut Zhumayev,2001–2011,1977,34,Kazakhstani,Maxut Zhumayev,https://en.wikipedia.org/wiki/Maxut_Zhumayev,
27,,Kim Jae-soo [de],2000–2011,1961,50,Korean,Kim Jae-soo,https://en.wikipedia.org/wiki/Kim_Jae-soo,
28,13,Mario Panzeri,1988–2012,1964,48,Italian,,,
29,,Hirotaka Takeuchi [ja],1995–2012,1971,41,Japanese,竹内洋岳,https://en.wikipedia.org/wiki/竹内洋岳,
30,,Chhang Dawa Sherpa,2001–2013,1982,30,Nepali,Chhang Dawa Sherpa (mountaineer),https://en.wikipedia.org/wiki/Chhang_Dawa_Sherpa_(mountaineer),
31,14,Kim Chang-ho,2005–2013,1970,43,Korean,Kim Chang-Ho (climber),https://en.wikipedia.org/wiki/Kim_Chang-Ho_(climber),https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/MG_3041%28cut%294.jpg/500px-MG_3041%28cut%294.jpg
32,,Jorge Egocheaga [eu],2002–2014,1968,45,Spanish,Jorge Egocheaga,https://en.wikipedia.org/wiki/Jorge_Egocheaga,
33,15,Radek Jaroš,1998–2014,1964,50,Czech,Radek Jaroš,https://en.wikipedia.org/wiki/Radek_Jaroš,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Radek_Jaro%C5%A1_%282023%29_III.jpg/500px-Radek_Jaro%C5%A1_%282023%29_III.jpg
34/35,16/17,Nives Meroi,1998–2017,1961,55,Italian,Nives Meroi,https://en.wikipedia.org/wiki/Nives_Meroi,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Nives_Meroi_-_Festival_del_Cammino_2024.jpg/500px-Nives_Meroi_-_Festival_del_Cammino_2024.jpg
34/35,16/17,Romano Benet [it],1998–2017,1962,55,Italian / Slovenian,Romano Benet,https://en.wikipedia.org/wiki/Romano_Benet,
36,,Peter Hámor [sk],1998–2017,1964,52,Slovak,Peter Hámor,https://en.wikipedia.org/wiki/Peter_Hámor,
37,18,Azim Gheychisaz,2008–2017,1981,37,Iranian,Azim Gheychisaz,https://en.wikipedia.org/wiki/Azim_Gheychisaz,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Azim_Gheichisaz.jpg/500px-Azim_Gheichisaz.jpg
38,,Ferran Latorre,1999–2017,1970,46,Spanish,Ferran Latorre,https://en.wikipedia.org/wiki/Ferran_Latorre,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Ferran_Latorre%2C_alpinista.jpg/500px-Ferran_Latorre%2C_alpinista.jpg
39,19,Òscar Cadiach,1984–2017,1952,64,Spanish,Òscar Cadiach,https://en.wikipedia.org/wiki/Òscar_Cadiach,
40,,Kim Mi-gon,2000–2018,1973,45,Korean,,,
41,,Sanu Sherpa,2006–2019,1975,44,Nepali,Sanu Sherpa,https://en.wikipedia.org/wiki/Sanu_Sherpa,https://upload.wikimedia.org/wikipedia/commons/2/22/Sanu_Sherpa.jpg
42,22,Nirmal Purja,2014–2019,1983,36,British,Nirmal Purja,https://en.wikipedia.org/wiki/Nirmal_Purja,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/NIRMAL_PURJA_%22NIMS%22.jpg/500px-NIRMAL_PURJA_%22NIMS%22.jpg
43,,Mingma Gyabu Sherpa,2010–2019,1989,30,Nepali,Mingma Gyabu Sherpa,https://en.wikipedia.org/wiki/Mingma_Gyabu_Sherpa,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Mingma_Gyab_Sherpa.jpg/500px-Mingma_Gyab_Sherpa.jpg
44,,Kim Hong-bin,2006–2021,1964,57,Korean,Kim Hong-bin,https://en.wikipedia.org/wiki/Kim_Hong-bin,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/%EC%97%90%EB%B2%A0%EB%A0%88%EC%8A%A4%ED%8A%B8_%EC%A0%95%EC%83%81_2007%EB%85%84_5%EC%9B%94_16%EC%9D%BC_%EB%93%B1%EC%A0%95.jpg/500px-%EC%97%90%EB%B2%A0%EB%A0%88%EC%8A%A4%ED%8A%B8_%EC%A0%95%EC%83%81_2007%EB%85%84_5%EC%9B%94_16%EC%9D%BC_%EB%93%B1%EC%A0%95.jpg
45,,Nima Gyalzen Sherpa,2004–2022,1985,37,Nepali,,,
46,,Dong Hong Juan,2015–2023,1981,42,Chinese,,,
47,,Kristin Harila,2021–2023,1986,37,Norwegian,Kristin Harila,https://en.wikipedia.org/wiki/Kristin_Harila,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Kristin_in_2023.jpg/500px-Kristin_in_2023.jpg
48,,Sophie Lavaud,2012–2023,1968,55,Swiss / French / Canadian,Sophie Lavaud,https://en.wikipedia.org/wiki/Sophie_Lavaud,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Sophie_lavaud_fev_2018.jpg/500px-Sophie_lavaud_fev_2018.jpg
49,,Tunç Fındık,2001–2023,1972,51,Turkish,Tunç Fındık,https://en.wikipedia.org/wiki/Tunç_Fındık,
50,,Tenjen Lama Sherpa,2016–2023,,35,Nepali,Tenjen Sherpa,https://en.wikipedia.org/wiki/Tenjen_Sherpa,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/LAMA_with_Guinness_Record_Certificate.jpg/500px-LAMA_with_Guinness_Record_Certificate.jpg
51,,Gelje Sherpa,2017–2023,1992,30,Nepali,,,
52,,Chris Warner,1999–2023,1965,58,American,,,
53,20,Marco Camandona,2000–2024,1970,54,Italian,,,
54,,Naoki Ishikawa,2001–4 October 2024,1977,47,Japanese,Naoki Ishikawa (photographer),https://en.wikipedia.org/wiki/Naoki_Ishikawa_(photographer),
54,,Tracee Metcalfe,2016–4 October 2024,,50,American,Tracee Metcalfe,https://en.wikipedia.org/wiki/Tracee_Metcalfe,
54,21,Sirbaz Khan,2017–4 October 2024,1987,37,Pakistani,Sirbaz Khan,https://en.wikipedia.org/wiki/Sirbaz_Khan,
54,,Dawa Gyalje Sherpa,?–4 October 2024,,,Nepali,,,
54,22,Mingma Gyalje Sherpa,?–4 October 2024,,,Nepali,Mingma Gyalje Sherpa,https://en.wikipedia.org/wiki/Mingma_Gyalje_Sherpa,
59,23,Mario Vielmo [it],1998–9 October 2024,1964,60,Italian,Mario Vielmo,https://en.wikipedia.org/wiki/Mario_Vielmo,
59,,Naoko Watanabe [ja],2006–9 October 2024,1981,42,Japanese,渡邊直子,https://en.wikipedia.org/wiki/渡邊直子,
59,,Adrian Laza,2016–9 October 2024,1963,60,Romanian,,,
59,,Pasang Nurbu Sherpa,2016-9 October 2024,,,Nepali,,,
59,,Shehroze Kashif,2019–9 October 2024,2002,22,Pakistani,Shehroze Kashif,https://en.wikipedia.org/wiki/Shehroze_Kashif,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Kashif_Shehroze.jpg/500px-Kashif_Shehroze.jpg
59,,Dorota Rasińska-Samoćko [pl],2021–9 October 2024,,,Polish,Dorota Rasińska-Samoćko,https://en.wikipedia.org/wiki/Dorota_Rasińska-Samoćko,
59,,Adriana Brownlee,2021–9 October 2024,2001,23,British,Adriana Brownlee,https://en.wikipedia.org/wiki/Adriana_Brownlee,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Adriana_Brownlee.jpg/500px-Adriana_Brownlee.jpg
59,,Nima Rinji Sherpa,2022–9 October 2024,2006,18,Nepali,Nima Rinji Sherpa,https://en.wikipedia.org/wiki/Nima_Rinji_Sherpa,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Nima_Rinji.jpg/500px-Nima_Rinji.jpg
59,,Alasdair McKenzie [fr],2022–9 October 2024,2004,20,French / British,Alasdair McKenzie,https://en.wikipedia.org/wiki/Alasdair_McKenzie,
59,,Alina Pekova,2023–9 October 2024,,,Russian,Alina Pekova,https://en.wikipedia.org/wiki/Alina_Pekova,
59,,Ko-Erh Tseng,?–9 October 2024,,,Taiwanese,,,
70,,Mingtemba Sherpa,2013-2024,,,Nepali,,,
71,,Tejan Gurung,2022-2024,,,Nepali / British,Tejan Gurung,https://en.wikipedia.org/wiki/Tejan_Gurung,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/TEJAN_SHISHA_PANGMA.jpg/500px-TEJAN_SHISHA_PANGMA.jpg
72,,Pasang Tendi,2011-2024,,,Nepali,,,
73,,Uta Ibrahimi,2017-2025,1983,42,Kosovo,Uta Ibrahimi,https://en.wikipedia.org/wiki/Uta_Ibrahimi,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Utalaya.jpg/500px-Utalaya.jpg
74,,Saško Kedev,2009-2025,1962,63,North Macedonia,Saško Kedev,https://en.wikipedia.org/wiki/Saško_Kedev,https://upload.wikimedia.org/wikipedia/commons/f/fe/%D0%A1%D0%B0%D1%88%D0%BA%D0%BE_%D0%9A%D0%B5%D0%B4%D0%B5%D0%B2.jpg
75,,Afsane Hesamifard,2021-2025,1976,49,Iranian,Afsane Hesamifard,https://en.wikipedia.org/wiki/Afsane_Hesamifard,
76,,Chhiring Sherpa,?-2025,,,Nepali,,,
75,,Nikol Algerdos Kovalchuk,2023-2025,1983,42,Russian,Nikol Algerdos Kovalchuk,https://en.wikipedia.org/wiki/Nikol_Algerdos_Kovalchuk,
